20181228181702: 登录172.16.0.74摄像头设备失败,海康错误码0!20181228181802: 播放出错，错误代码1820181228181809: 播放出错，错误代码1820190102102714: 播放出错，错误代码5
20190102102717: 播放出错，错误代码5
20190102102726: 播放出错，错误代码5
20190102102817: 播放出错，错误代码5
20190104 104727: 播放出错，错误代码5
20190104 104733: 播放出错，错误代码5
20190104 104733: 启动录像失败，错误代码17
20190104 104734: 播放出错，错误代码10
20190104 104734: 启动录像失败，错误代码17
20190104 104734: 播放出错，错误代码10
20190104 104734: 启动录像失败，错误代码17
20190104 104737: 播放出错，错误代码5
20190104 104737: 启动录像失败，错误代码17
20190104 105105: 播放出错，错误代码5
20190104 105105: 播放出错，错误代码5
20190104 105105: 播放出错，错误代码5
20190104 105105: 播放出错，错误代码5
20190104 105105: 播放出错，错误代码5
20190104 105105: 播放出错，错误代码5
20190104 105112: 播放出错，错误代码10
20190104 105112: 启动录像失败，错误代码17
20190104 105112: 播放出错，错误代码10
20190104 105112: 启动录像失败，错误代码17
20190104 105112: 播放出错，错误代码10
20190104 105112: 启动录像失败，错误代码17
20190104 105112: 播放出错，错误代码10
20190104 105112: 启动录像失败，错误代码17
20190104 105112: 播放出错，错误代码10
20190104 105112: 启动录像失败，错误代码17
20190104 105115: 播放出错，错误代码5
20190104 105115: 启动录像失败，错误代码17
20190104 110621: 播放出错，错误代码5
20190104 110621: 播放出错，错误代码5
20190104 110621: 播放出错，错误代码5
20190104 110621: 播放出错，错误代码5
20190104 110621: 播放出错，错误代码5
20190104 110626: 播放出错，错误代码10
20190104 110627: 播放出错，错误代码10
20190104 110627: 播放出错，错误代码10
20190104 110627: 播放出错，错误代码10
20190104 110627: 播放出错，错误代码10
20190104 110627: 播放出错，错误代码10
20190104 110628: 播放出错，错误代码10
20190104 111130: 播放出错，错误代码5
20190104 111130: 播放出错，错误代码5
20190104 111130: 播放出错，错误代码5
20190104 111130: 播放出错，错误代码5
20190104 111130: 播放出错，错误代码5
20190104 111130: 播放出错，错误代码5
20190104 111136: 播放出错，错误代码5
20190104 111136: 播放出错，错误代码10
20190104 111136: 播放出错，错误代码10
20190104 111136: 播放出错，错误代码10
20190104 111136: 播放出错，错误代码10
20190104 111136: 播放出错，错误代码10
